                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56104,                 0.8286,                      1,                0.48778,              0.0033319,              0.0033319,              0.0033319
                      2,                0.60428,                0.79615,                      1,                0.52395,              0.0065332,              0.0065332,              0.0065332
                      3,                0.66566,                0.84927,                      1,                0.49282,              0.0096026,              0.0096026,              0.0096026
                      4,                 0.4536,                0.86183,                      1,                0.48358,               0.009406,               0.009406,               0.009406
                      5,                0.39342,                0.87243,                      1,                0.46327,               0.009406,               0.009406,               0.009406
                      6,                0.38084,                0.86641,                      1,                0.46786,               0.009208,               0.009208,               0.009208
                      7,                 0.3631,                0.88525,                      1,                0.44728,                0.00901,                0.00901,                0.00901
                      8,                0.35424,                0.87675,                      1,                0.45757,               0.008812,               0.008812,               0.008812
                      9,                0.34596,                 0.8897,                      1,                 0.4406,               0.008614,               0.008614,               0.008614
                     10,                0.33681,                0.88813,                      1,                0.44191,               0.008416,               0.008416,               0.008416
                     11,                0.32791,                0.87753,                      1,                0.45367,               0.008218,               0.008218,               0.008218
                     12,                0.33125,                0.88565,                      1,                0.44495,                0.00802,                0.00802,                0.00802
                     13,                0.32301,                0.89127,                      1,                0.43994,               0.007822,               0.007822,               0.007822
                     14,                0.32391,                0.89376,                      1,                0.43672,               0.007624,               0.007624,               0.007624
                     15,                0.31685,                0.89075,                      1,                0.43948,               0.007426,               0.007426,               0.007426
                     16,                0.31686,                0.88944,                      1,                0.43836,               0.007228,               0.007228,               0.007228
                     17,                0.30671,                0.89271,                      1,                0.43635,                0.00703,                0.00703,                0.00703
                     18,                0.30145,                0.89677,                      1,                0.43313,               0.006832,               0.006832,               0.006832
                     19,                0.30533,                0.89441,                      1,                0.43338,               0.006634,               0.006634,               0.006634
                     20,                0.29669,                0.89585,                      1,                 0.4314,               0.006436,               0.006436,               0.006436
                     21,                0.29977,                0.89729,                      1,                0.43035,               0.006238,               0.006238,               0.006238
                     22,                0.29115,                0.89768,                      1,                0.43021,                0.00604,                0.00604,                0.00604
                     23,                0.29141,                0.89965,                      1,                0.42972,               0.005842,               0.005842,               0.005842
                     24,                0.28908,                0.90043,                      1,                 0.4283,               0.005644,               0.005644,               0.005644
                     25,                0.29309,                0.90017,                      1,                0.42805,               0.005446,               0.005446,               0.005446
                     26,                0.29399,                0.89939,                      1,                0.42775,               0.005248,               0.005248,               0.005248
                     27,                0.28373,                0.89939,                      1,                0.42744,                0.00505,                0.00505,                0.00505
                     28,                0.28364,                0.89978,                      1,                0.42696,               0.004852,               0.004852,               0.004852
                     29,                0.28362,                0.90096,                      1,                0.42652,               0.004654,               0.004654,               0.004654
                     30,                0.27467,                0.90017,                      1,                0.42618,               0.004456,               0.004456,               0.004456
                     31,                0.27072,                0.90017,                      1,                0.42604,               0.004258,               0.004258,               0.004258
                     32,                0.27191,                0.90069,                      1,                0.42591,                0.00406,                0.00406,                0.00406
                     33,                0.26821,                0.90122,                      1,                0.42565,               0.003862,               0.003862,               0.003862
                     34,                0.26743,                0.90135,                      1,                 0.4256,               0.003664,               0.003664,               0.003664
                     35,                 0.2613,                0.90109,                      1,                0.42532,               0.003466,               0.003466,               0.003466
                     36,                0.25718,                0.90109,                      1,                0.42508,               0.003268,               0.003268,               0.003268
                     37,                0.25427,                0.90135,                      1,                 0.4248,                0.00307,                0.00307,                0.00307
                     38,                0.25721,                0.90174,                      1,                0.42467,               0.002872,               0.002872,               0.002872
                     39,                0.25775,                0.90174,                      1,                0.42447,               0.002674,               0.002674,               0.002674
                     40,                0.24922,                0.90174,                      1,                0.42419,               0.002476,               0.002476,               0.002476
                     41,                0.24985,                0.90226,                      1,                0.42394,               0.002278,               0.002278,               0.002278
                     42,                0.24402,                0.90253,                      1,                0.42381,                0.00208,                0.00208,                0.00208
                     43,                0.24063,                0.90239,                      1,                0.42366,               0.001882,               0.001882,               0.001882
                     44,                0.23958,                0.90305,                      1,                0.42348,               0.001684,               0.001684,               0.001684
                     45,                0.23241,                0.90318,                      1,                0.42326,               0.001486,               0.001486,               0.001486
                     46,                 0.2323,                 0.9041,                      1,                0.42304,               0.001288,               0.001288,               0.001288
                     47,                0.22796,                0.90475,                      1,                0.42279,                0.00109,                0.00109,                0.00109
                     48,                0.22423,                0.90449,                      1,                0.42249,               0.000892,               0.000892,               0.000892
                     49,                0.22615,                0.90449,                      1,                0.42233,               0.000694,               0.000694,               0.000694
                     50,                0.22359,                0.90488,                      1,                0.42206,               0.000496,               0.000496,               0.000496
