                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.25359,                0.90318,                      1,                0.42621,               0.003169,               0.003169,               0.003169
                     72,                0.25433,                0.90279,                      1,                0.42612,                0.00307,                0.00307,                0.00307
                     73,                0.24453,                0.90266,                      1,                0.42596,               0.002971,               0.002971,               0.002971
                     74,                0.24936,                0.90279,                      1,                0.42589,               0.002872,               0.002872,               0.002872
                     75,                0.24921,                0.90279,                      1,                0.42578,               0.002773,               0.002773,               0.002773
                     76,                0.24053,                0.90305,                      1,                0.42567,               0.002674,               0.002674,               0.002674
                     77,                0.24357,                0.90331,                      1,                0.42535,               0.002575,               0.002575,               0.002575
                     78,                0.24089,                0.90331,                      1,                0.42511,               0.002476,               0.002476,               0.002476
                     79,                0.23601,                0.90331,                      1,                0.42485,               0.002377,               0.002377,               0.002377
                     80,                0.23495,                0.90318,                      1,                0.42479,               0.002278,               0.002278,               0.002278
                     81,                0.23243,                0.90318,                      1,                0.42449,               0.002179,               0.002179,               0.002179
                     82,                0.23473,                0.90318,                      1,                0.42402,                0.00208,                0.00208,                0.00208
                     83,                0.23532,                0.90357,                      1,                0.42356,               0.001981,               0.001981,               0.001981
                     84,                0.23144,                0.90344,                      1,                0.42318,               0.001882,               0.001882,               0.001882
                     85,                0.22834,                 0.9037,                      1,                0.42292,               0.001783,               0.001783,               0.001783
                     86,                0.22442,                0.90396,                      1,                0.42269,               0.001684,               0.001684,               0.001684
                     87,                0.23169,                0.90423,                      1,                0.42229,               0.001585,               0.001585,               0.001585
                     88,                0.22326,                0.90423,                      1,                0.42188,               0.001486,               0.001486,               0.001486
                     89,                0.22224,                0.90462,                      1,                0.42162,               0.001387,               0.001387,               0.001387
                     90,                0.21766,                0.90567,                      1,                0.42127,               0.001288,               0.001288,               0.001288
                     91,                0.22274,                0.90632,                      1,                0.42101,               0.001189,               0.001189,               0.001189
                     92,                0.21545,                0.90632,                      1,                0.42058,                0.00109,                0.00109,                0.00109
                     93,                0.21434,                0.90645,                      1,                0.42037,               0.000991,               0.000991,               0.000991
                     94,                0.21618,                0.90658,                      1,                0.41993,               0.000892,               0.000892,               0.000892
                     95,                0.21023,                0.90697,                      1,                0.41967,               0.000793,               0.000793,               0.000793
                     96,                 0.2085,                0.90671,                      1,                0.41933,               0.000694,               0.000694,               0.000694
                     97,                0.20629,                0.90684,                      1,                  0.419,               0.000595,               0.000595,               0.000595
                     98,                0.20752,                0.90671,                      1,                0.41871,               0.000496,               0.000496,               0.000496
                     99,                0.20479,                0.90645,                      1,                0.41836,               0.000397,               0.000397,               0.000397
                    100,                0.20165,                0.90619,                      1,                0.41802,               0.000298,               0.000298,               0.000298
